tiempo,flex,ext,joint4,joint5,
1,0.00,0.23,0,1,Not Pressed
2,0.00,0.20,0,1,Not Pressed
3,0.00,0.12,0,1,Not Pressed
4,0.00,0.20,0,1,Not Pressed
5,0.00,0.09,0,1,Not Pressed
6,0.00,0.04,0,1,Not Pressed
7,0.01,0.05,0,1,Not Pressed
8,0.05,0.13,0,1,Not Pressed
9,0.08,0.14,0,1,Not Pressed
10,0.18,0.03,0,1,Not Pressed
11,0.18,0.06,0,1,Not Pressed
12,0.28,0.06,0,1,Not Pressed
13,0.37,0.06,0,1,Not Pressed
14,0.67,0.05,0,1,Not Pressed
15,0.89,0.05,0,1,Not Pressed
16,1.42,0.00,0,0,Not Pressed
17,1.08,0.16,0,0,Not Pressed
18,1.26,0.53,0,0,Not Pressed
19,1.77,0.52,0,0,Not Pressed
20,2.09,0.84,0,0,Not Pressed
21,2.18,1.28,0,0,Not Pressed
22,2.00,1.50,0,0,Not Pressed
23,1.77,2.07,0,0,Not Pressed
24,1.12,2.27,0,0,Not Pressed
25,0.48,2.64,0,0,Not Pressed
26,0.43,3.16,0,0,Not Pressed
27,1.26,3.18,0,0,Not Pressed
28,2.27,3.16,0,0,Not Pressed
29,3.25,3.17,0,2,Not Pressed
30,3.25,3.16,2,2,Not Pressed
31,3.25,3.16,2,2,Not Pressed
32,3.25,3.16,2,2,Not Pressed
33,3.24,3.16,2,2,Not Pressed
34,3.24,2.37,2,2,Not Pressed
35,3.01,2.95,2,2,Not Pressed
36,2.32,2.83,2,2,Not Pressed
37,1.63,3.16,2,2,Not Pressed
38,1.40,2.92,2,2,Not Pressed
39,0.90,2.57,2,2,Not Pressed
40,0.59,2.19,2,2,Not Pressed
41,0.48,2.42,2,2,Not Pressed
42,0.81,2.03,2,2,Not Pressed
43,0.86,2.15,2,2,Not Pressed
44,1.37,1.88,2,2,Not Pressed
45,2.54,1.90,2,2,Not Pressed
46,0.97,1.85,2,2,Not Pressed
47,0.43,1.86,2,2,Not Pressed
48,0.57,2.16,2,2,Not Pressed
49,0.47,1.83,2,2,Not Pressed
50,0.80,1.97,2,2,Not Pressed
51,0.61,2.22,2,2,Not Pressed
52,0.47,2.11,2,2,Not Pressed
53,0.59,1.96,2,2,Not Pressed
54,0.66,1.96,2,2,Not Pressed
55,0.63,2.33,2,2,Not Pressed
56,1.24,2.11,2,2,Not Pressed
57,1.31,1.92,2,2,Not Pressed
58,0.94,2.10,2,2,Not Pressed
59,0.58,2.27,2,2,Not Pressed
60,0.45,1.99,2,2,Not Pressed
61,0.50,2.21,2,2,Not Pressed
62,0.51,2.09,2,2,Not Pressed
63,0.44,2.14,2,2,Not Pressed
64,0.40,2.25,2,2,Not Pressed
65,0.15,1.91,2,2,Not Pressed
66,1.78,1.36,0,2,Not Pressed
67,3.18,0.92,0,2,Not Pressed
68,2.35,0.61,0,0,Not Pressed
69,1.41,0.33,0,0,Not Pressed
70,0.51,0.48,0,0,Not Pressed
71,0.12,0.80,0,0,Not Pressed
72,0.12,1.13,0,0,Not Pressed
73,0.04,1.39,0,0,Not Pressed
74,0.00,1.55,0,1,Not Pressed
75,0.14,1.77,0,1,Not Pressed
76,0.01,1.95,0,1,Not Pressed
