Tiempo,V_flexion,V_extension,Col_4,Col_5
1,0.0,0.03,0,1
2,0.0,0.02,0,1
3,0.0,0.02,0,1
4,0.0,0.03,0,1
5,0.0,0.0,0,1
6,0.0,0.02,0,1
7,0.0,0.0,0,1
8,0.0,0.0,0,1
9,0.0,0.01,0,1
10,0.0,0.0,0,1
11,0.0,0.0,0,1
12,0.0,0.01,0,1
13,0.0,0.0,0,1
14,0.0,0.06,0,1
15,0.0,0.07,0,1
16,0.0,0.05,1,1
17,0.0,0.0,1,1
18,0.0,0.05,1,1
19,0.0,0.06,1,1
20,0.0,0.04,1,1
21,0.0,0.04,1,1
22,0.0,0.04,1,1
23,0.0,0.03,1,1
24,0.0,0.03,1,1
25,0.0,0.0,1,1
26,0.0,0.0,1,1
27,0.0,0.03,1,1
28,0.0,0.04,1,1
29,0.0,0.02,1,1
30,0.0,0.0,1,1
31,0.0,0.01,2,0
32,0.0,0.03,2,0
33,0.0,0.03,2,0
34,0.0,0.04,2,0
35,0.0,0.0,2,0
36,0.0,0.0,2,0
37,0.0,0.0,2,0
38,0.0,0.0,2,0
39,0.19,0.09,2,0
40,0.34,0.04,2,0
41,0.46,0.06,2,0
42,0.46,0.08,2,0
43,0.97,0.06,2,0
44,0.78,0.04,2,0
45,0.73,0.01,2,0
46,0.63,0.03,0,0
47,0.98,0.0,0,0
48,1.01,0.01,0,0
49,1.49,0.02,0,0
50,1.52,0.0,0,0
51,1.2,0.01,0,0
52,1.38,0.0,0,0
53,1.58,0.03,0,0
54,2.34,0.03,0,0
55,2.41,0.0,0,0
56,2.2,0.04,0,0
57,2.73,0.0,0,0
58,2.4,0.0,0,0
59,1.87,0.05,0,0
60,1.5,0.01,0,0
61,1.3,0.0,1,2
62,1.74,0.02,1,2
63,1.45,0.0,1,2
64,1.54,0.07,1,2
65,1.9,0.02,1,2
66,2.12,0.06,1,2
67,3.19,0.15,1,2
68,3.19,2.88,1,2
69,3.19,3.07,1,2
70,3.19,3.06,1,2
71,3.19,1.78,1,2
72,2.75,1.24,1,2
73,2.7,0.74,1,2
74,2.17,0.44,1,2
75,2.08,0.14,1,2
76,2.66,0.14,2,0
77,2.55,0.1,2,0
78,1.7,0.06,2,0
79,1.59,0.01,2,0
80,1.6,0.05,2,0
81,1.9,0.06,2,0
82,1.9,0.0,2,0
83,1.68,0.05,2,0
84,1.32,0.03,2,0
85,1.57,0.04,2,0
86,1.18,0.02,2,0
87,1.05,0.02,2,0
88,1.08,0.0,2,0
89,1.07,0.04,2,0
90,0.77,0.01,2,0
91,0.36,0.03,0,1
92,0.05,0.04,0,1
93,0.12,0.06,0,1
94,0.52,0.0,0,1
95,0.72,0.04,0,1
96,0.81,0.03,0,1
97,0.71,0.01,0,1
98,0.69,0.06,0,1
99,0.78,0.08,0,1
100,0.89,1.08,0,1
101,1.26,3.09,0,1
102,1.95,3.1,0,1
103,2.14,3.1,0,1
104,2.51,3.1,0,1
105,3.19,3.1,0,1
106,3.19,3.1,1,0
107,3.19,3.09,1,0
108,3.19,3.1,1,0
109,3.19,3.1,1,0
110,3.18,3.09,1,0
111,3.19,3.1,1,0
112,3.19,3.11,1,0
113,3.19,3.1,1,0
114,3.18,3.1,1,0
115,3.19,3.09,1,0
116,3.19,3.13,1,0
117,3.19,3.1,1,0
118,3.19,3.1,1,0
119,3.18,3.09,1,0
120,3.18,3.09,1,0
121,3.19,3.09,2,1
122,2.57,3.09,2,1
123,2.04,3.09,2,1
124,1.69,3.1,2,1
125,1.36,3.09,2,1
126,0.99,3.1,2,1
127,0.63,3.1,2,1
128,0.27,3.09,2,1
129,0.22,3.09,2,1
130,0.82,3.09,2,1
131,1.47,3.09,2,1
132,2.81,3.1,2,1
133,3.18,3.09,2,1
134,3.18,3.09,2,1
135,3.19,3.09,2,1
136,3.18,3.1,0,1
137,2.32,3.1,0,1
138,1.42,3.09,0,1
139,1.22,3.09,0,1
140,1.2,3.09,0,1
141,1.19,3.1,0,1
142,1.03,3.09,0,1
143,0.84,3.08,0,1
144,0.62,3.09,0,1
145,0.43,3.09,0,1
146,0.18,3.09,0,1
147,0.03,3.1,0,1
148,0.02,3.1,0,1
149,0.17,3.1,0,1
150,0.24,3.09,0,1
151,0.34,3.09,1,1
152,0.46,3.09,1,1
153,0.49,3.09,1,1
154,0.46,3.09,1,1
155,0.6,3.1,1,1
156,0.94,3.09,1,1
157,1.25,3.09,1,1
158,1.5,3.1,1,1
159,1.62,3.1,1,1
160,1.7,3.09,1,1
161,1.64,3.1,1,1
162,1.54,3.1,1,1
163,1.32,3.09,1,1
164,1.64,3.1,1,1
165,1.69,3.08,1,1
166,1.86,3.09,2,1
167,1.94,3.1,2,1
168,1.85,3.1,2,1
169,1.62,3.1,2,1
170,1.52,3.09,2,1
171,1.31,1.85,2,1
172,1.04,1.09,2,1
173,0.78,1.2,2,1
174,0.35,1.85,2,1
175,0.06,2.83,2,1
176,0.02,2.91,2,1
177,0.37,2.63,2,1
178,0.72,2.44,2,1
179,0.84,2.4,2,1
180,0.98,2.28,2,1
181,1.75,2.43,0,1
182,3.19,3.1,0,1
183,3.19,2.95,0,1
184,3.18,3.08,0,1
185,3.19,3.1,0,1
186,3.18,3.07,0,1
187,3.19,3.09,0,1
188,3.19,3.1,0,1
189,3.19,3.09,0,1
190,3.19,3.1,0,1
191,3.19,3.09,0,1
192,3.18,3.09,0,1
193,2.46,3.09,0,1
194,1.13,2.77,0,1
195,0.25,2.06,0,1
196,0.24,1.36,1,1
197,0.46,0.93,1,1
198,0.79,1.05,1,1
199,1.93,1.69,1,1
200,3.1,1.74,1,1
201,3.19,3.1,1,1
202,3.19,1.97,1,1
203,1.85,1.2,1,1
204,0.66,1.23,1,1
205,0.71,1.38,1,1
206,0.44,1.28,1,1
207,0.09,0.97,1,1
208,0.0,1.11,1,1
209,0.0,1.58,1,1
210,0.12,3.1,1,1
211,0.23,3.1,2,1
212,0.71,3.1,2,1
213,1.03,3.1,2,1
214,1.54,3.09,2,1
215,1.86,3.09,2,1
216,2.32,3.1,2,1
217,2.41,3.09,2,1
218,2.64,3.1,2,1
219,2.32,3.09,2,1
220,2.83,3.1,2,1
221,2.62,3.1,2,1
222,2.36,3.09,2,1
223,2.17,3.1,2,1
224,2.38,3.0,2,1
225,2.23,3.09,2,1
226,1.71,3.07,0,1
227,1.24,3.1,0,1
228,1.23,3.09,0,1
229,1.04,3.09,0,1
230,1.12,3.1,0,1
231,1.19,1.93,0,1
232,1.12,1.0,0,1
233,0.96,1.74,0,1
234,0.68,2.18,0,1
235,0.42,2.37,0,1
236,0.18,2.45,0,1
237,0.02,2.23,0,1
238,0.06,2.08,0,1
239,0.49,1.79,0,1
240,0.78,2.18,0,1
241,1.11,3.09,1,1
242,2.17,3.09,1,1
243,3.19,3.09,1,1
244,3.19,3.09,1,1
245,3.19,3.09,1,1
246,1.71,2.49,1,1
247,1.05,1.5,1,1
248,0.62,1.76,1,1
249,0.37,2.1,1,1
250,0.23,2.15,1,1
251,0.05,2.09,1,1
252,0.0,1.94,1,1
253,0.0,1.83,1,1
254,0.09,1.56,1,1
255,0.07,1.28,1,1
256,0.24,0.79,2,1
257,0.53,0.36,2,1
258,1.49,0.71,2,1
259,2.55,0.82,2,1
260,3.19,0.68,2,1
261,3.19,0.87,2,1
262,3.19,1.28,2,1
263,3.19,1.17,2,1
264,3.19,1.42,2,1
265,3.19,1.45,2,1
266,3.2,1.88,2,1
267,3.19,1.8,2,1
268,3.19,1.88,2,1
269,3.19,1.61,2,1
270,3.19,1.47,2,1
271,3.19,1.28,0,0
272,3.2,1.58,0,0
273,2.05,1.83,0,0
274,1.34,1.38,0,0
275,1.9,2.01,0,0
276,1.73,1.66,0,0
277,1.66,1.41,0,0
278,1.05,1.31,0,0
279,0.28,1.19,0,0
280,0.13,1.25,0,0
281,0.71,1.23,0,0
282,1.51,1.29,0,0
283,2.03,1.24,0,0
284,2.21,0.95,0,0
285,2.12,0.95,0,0
286,2.0,0.88,1,1
287,1.91,0.68,1,1
288,1.73,0.17,1,1
289,1.5,0.2,1,1
290,1.61,0.38,1,1
291,1.74,0.8,1,1
292,1.78,1.22,1,1
293,1.57,3.09,1,1
294,1.98,3.06,1,1
295,3.18,3.1,1,1
296,3.19,3.09,1,1
297,3.19,3.09,1,1
298,3.18,3.08,1,1
299,3.19,3.09,1,1
300,3.19,3.1,1,1
301,3.19,3.09,2,1
302,2.84,3.13,2,1
303,1.65,1.71,2,1
304,1.26,1.18,2,1
305,1.3,1.33,2,1
306,1.04,1.43,2,1
307,0.4,1.46,2,1
308,0.59,1.42,2,1
309,1.34,1.29,2,1
310,1.51,1.03,2,1
311,1.5,0.8,2,1
312,1.48,0.59,2,1
313,1.33,0.47,2,1
314,1.37,0.4,2,1
315,1.26,0.27,2,1
316,1.17,0.12,0,0
317,1.19,0.11,0,0
318,1.33,0.04,0,0
319,1.31,0.05,0,0
320,1.11,0.1,0,0
321,0.67,0.19,0,0
322,0.33,0.22,0,0
323,0.11,0.17,0,0
324,0.07,0.25,0,0
325,0.16,0.46,0,0
326,0.37,0.79,0,0
327,0.72,1.77,0,0
328,1.35,3.1,0,0
329,3.06,3.1,0,0
330,3.18,3.1,0,0
331,3.18,3.1,1,0
332,3.19,3.1,1,0
333,3.19,3.09,1,0
334,3.19,3.1,1,0
335,3.19,3.1,1,0
336,3.18,3.1,1,0
337,3.19,3.1,1,0
338,3.2,3.1,1,0
339,3.19,3.1,1,0
340,3.2,3.09,1,0
341,3.18,3.1,1,0
342,2.99,3.1,1,0
343,2.72,3.09,1,0
344,2.57,3.09,1,0
345,1.82,3.07,1,0
346,1.3,3.09,2,1
347,1.12,2.27,2,1
348,0.98,1.48,2,1
349,0.9,1.04,2,1
350,0.38,0.31,2,1
351,0.35,0.43,2,1
352,1.22,1.43,2,1
353,2.09,2.78,2,1
354,2.4,3.1,2,1
355,2.47,3.09,2,1
356,3.02,3.09,2,1
357,3.19,3.1,2,1
358,3.19,3.1,2,1
359,3.19,3.09,2,1
360,3.19,3.06,2,1
361,3.19,3.09,0,1
362,3.19,3.09,0,1
363,3.19,2.1,0,1
364,3.19,1.56,0,1
